cityId,searchRadius,hCountLevel0,hCountLevel1,hCountLevel2,hCountLevel3,hCountLevel7,cCountLevel0,cCountLevel1,cCountLevel2,cCountLevel3,cCountLevel7,rCountLevel0,rCountLevel1,rCountLevel2,rCountLevel3,rCountLevel7,aCountLevel0,aCountLevel1,aCountLevel2,aCountLevel3,aCountLevel7,iCountLevel0,iCountLevel1,iCountLevel2,iCountLevel3,iCountLevel7,nCountLevel0,nCountLevel1,nCountLevel2,nCountLevel3,nCountLevel7
25591,30000,1,7,1,0,1,3,3,2,0,0,29,35,1,1,0,9,0,0,0,0,0,0,0,0,0,22,22,1,0,0
25261,50000,120,80,34,62,197,110,142,73,132,33,10,41,164,265,11,27,15,23,40,153,0,0,0,2,15,38,38,17,16,14
143516,30000,120,80,34,62,196,111,147,73,128,32,6,34,130,209,5,23,8,17,29,127,0,0,0,1,13,20,20,9,6,6
26044,20000,104,17,1,7,74,68,70,13,35,4,2,18,35,59,2,15,2,1,13,19,0,0,0,2,0,8,8,3,3,2
143551,20000,134,17,1,7,112,66,68,13,35,5,2,18,38,63,3,15,2,1,15,23,0,0,0,2,0,7,7,3,3,3
26335,20000,6,8,0,0,0,2,3,0,0,0,2,43,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
143613,20000,5,9,0,1,1,1,6,0,1,0,0,5,0,0,0,5,1,0,0,0,0,0,0,0,0,4,4,0,0,0
143612,20000,3,15,0,2,0,4,3,0,0,0,28,95,0,0,0,11,0,0,0,0,0,0,0,0,0,2,2,1,0,0
26181,20000,4,5,0,0,0,2,1,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26078,50000,26,60,0,2,1,8,47,0,3,0,25,156,1,1,0,6,4,0,0,0,0,0,0,0,0,7,7,1,0,1
25982,50000,17,86,1,6,1,24,55,7,5,1,60,407,3,4,0,12,9,2,0,0,0,0,0,0,1,2,2,1,1,0
26208,30000,15,77,1,5,1,24,55,7,5,1,48,382,3,4,0,12,9,2,0,0,0,0,0,0,1,1,1,0,1,0
26488,30000,15,77,1,6,1,24,54,6,5,1,59,377,3,4,0,12,9,2,0,0,0,0,0,0,1,2,2,1,0,0
26903,50000,97,161,3,8,1,100,189,8,16,0,142,337,8,12,0,13,10,1,7,0,0,0,0,0,0,26,26,1,2,0
25957,20000,11,8,1,2,0,3,9,0,1,0,24,45,1,3,0,0,1,0,1,0,0,0,0,0,0,5,5,0,1,0
26052,20000,32,79,3,7,1,62,148,6,16,0,92,253,8,12,0,3,9,1,7,0,0,0,0,0,0,10,10,1,0,0
25981,20000,9,10,0,3,0,1,6,2,5,0,21,35,0,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,1,0
26193,20000,1,5,0,1,0,1,3,0,0,0,19,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
26581,30000,14,26,1,1,0,5,97,0,2,0,78,102,1,0,0,2,1,0,1,0,0,0,0,0,0,16,16,0,0,0
26545,20000,7,11,3,2,0,14,7,0,1,0,35,64,0,1,0,3,3,0,5,0,0,0,0,0,0,5,5,0,0,0
26276,30000,23,33,2,3,0,17,45,1,2,0,52,98,2,6,0,1,0,1,2,0,0,0,0,0,0,3,3,1,1,0
26769,20000,8,32,0,1,0,5,14,0,1,0,33,60,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26706,30000,13,18,1,2,0,8,3,0,0,0,17,22,0,0,0,2,2,0,1,0,0,0,0,0,0,2,2,1,0,0
143809,20000,12,13,0,0,0,1,3,0,1,0,6,109,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26630,20000,10,62,1,1,2,16,81,2,1,1,17,240,1,2,2,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0
25971,50000,25,125,5,4,0,22,58,2,11,0,23,472,0,5,0,0,0,1,1,0,0,0,0,0,0,6,6,1,1,1
26597,50000,62,158,4,7,1,65,183,9,18,4,80,405,2,3,5,15,3,1,1,8,0,0,0,1,0,32,32,4,12,0
26173,20000,5,22,0,0,0,2,12,0,0,0,7,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26840,20000,22,46,24,24,35,38,84,45,43,48,3,11,9,8,27,75,4,17,20,50,0,0,0,0,3,9,9,5,2,6
26362,20000,6,21,3,7,0,2,0,0,1,0,8,6,3,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
26442,20000,5,9,2,4,0,2,1,1,1,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26154,20000,1,6,0,5,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26127,20000,1,6,0,3,1,1,5,0,0,0,5,14,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
26543,50000,23,55,6,20,1,3,12,5,10,0,96,113,8,7,0,50,3,1,3,0,0,0,0,0,0,14,14,1,0,0
25976,20000,2,7,2,10,4,1,5,0,6,0,9,3,0,2,3,0,2,1,3,1,0,0,0,0,0,0,0,2,2,2
26257,20000,0,9,1,0,0,1,1,0,0,0,9,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
