id,date,prcp,tmax
USC00457773,2014-03-19,36,NA
USC00457773,2014-03-20,155,NA
USC00457773,2014-03-21,5,NA
USC00457773,2014-03-22,8,NA
USC00457773,2014-03-23,0,NA
USC00457773,2014-03-24,0,NA
USC00457773,2014-03-25,0,NA
USC00457773,2014-03-26,38,NA
USC00457773,2014-03-27,33,NA
USC00457773,2014-03-28,71,NA
USC00457773,2014-03-29,142,NA
USC00457773,2014-03-30,206,NA
USC00457773,2014-03-31,3,NA
USC00457773,2014-04-01,0,NA
USC00457773,2014-04-02,0,NA
USC00457773,2014-04-03,0,NA
USC00457773,2014-04-04,NA,NA
USC00457773,2014-04-05,NA,NA
USC00457773,2014-04-06,56,NA
USC00457773,2014-04-07,0,NA
USC00457773,2014-04-08,3,NA
USC00457773,2014-04-09,97,NA
USC00457773,2014-04-10,0,NA
USC00457773,2014-04-11,3,NA
USC00457773,2014-04-12,0,NA
USC00457773,2014-04-13,0,NA
USC00457773,2014-04-14,0,NA
USC00457773,2014-04-15,20,NA
USC00457773,2014-04-16,56,NA
USC00457773,2014-04-17,NA,NA
USC00457773,2014-04-18,NA,NA
USC00457773,2014-04-19,0,NA
USC00457773,2014-04-20,58,NA
USC00457773,2014-04-21,0,NA
USC00457773,2014-04-22,160,NA
USC00457773,2014-04-23,89,NA
USC00457773,2014-04-24,152,NA
USC00457773,2014-04-25,61,NA
USC00457773,2014-04-26,15,NA
USC00457773,2014-04-27,43,NA
USC00457773,2014-04-28,33,NA
USC00457773,2014-04-29,5,NA
USC00457773,2014-04-30,0,NA
USC00457773,2014-05-01,0,NA
USC00457773,2014-05-02,0,NA
USC00457773,2014-05-03,53,NA
USC00457773,2014-05-04,127,NA
USC00457773,2014-05-05,NA,NA
USC00457773,2014-05-06,NA,NA
USC00457773,2014-05-07,20,NA
USC00457773,2014-05-08,0,NA
USC00457773,2014-05-09,130,NA
USC00457773,2014-05-10,69,NA
USC00457773,2014-05-11,15,NA
USC00457773,2014-05-12,0,NA
USC00457773,2014-05-13,0,NA
USC00457773,2014-05-14,0,NA
USC00457773,2014-05-15,0,NA
USC00457773,2014-05-16,0,NA
USC00457773,2014-05-17,0,NA
USC00457773,2014-05-18,0,NA
USC00457773,2014-05-19,13,NA
USC00457773,2014-05-20,0,NA
USC00457773,2014-05-21,0,NA
USC00457773,2014-05-22,0,NA
USC00457773,2014-05-23,0,NA
USC00457773,2014-05-24,48,NA
USC00457773,2014-05-25,NA,NA
USC00457773,2014-05-26,NA,NA
USC00457773,2014-05-27,0,NA
USC00457773,2014-05-28,3,NA
USC00457773,2014-05-29,53,NA
USC00457773,2014-05-30,0,NA
USC00457773,2014-05-31,0,NA
USC00457773,2014-06-01,0,NA
USC00457773,2014-06-02,0,NA
USC00457773,2014-06-03,0,NA
USC00457773,2014-06-04,0,NA
USC00457773,2014-06-05,0,NA
USC00457773,2014-06-06,0,NA
