cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
134225,20000,22,19,40,0,0,5
137276,20000,6,4,50,0,0,68
9039,20000,24,34,392,4,0,0
135130,20000,43,58,126,10,0,26
9465,20000,10,12,62,0,0,0
137505,20000,174,180,869,19,10,31
135395,20000,54,150,758,14,0,551
8153,20000,12,14,122,2,0,13
138059,20000,40,32,270,3,0,8
137103,20000,2,16,56,0,0,0
8595,20000,6,20,88,0,0,2
8879,20000,4,10,16,0,0,0
135514,30000,79,122,338,46,0,126
137823,20000,74,201,882,19,2,743
138066,20000,363,981,883,287,12,587
8677,20000,52,70,251,12,0,2
8489,20000,18,20,80,2,0,329
8140,50000,529,1031,870,394,20,950
8258,20000,48,75,219,9,0,10
8362,20000,317,320,713,110,22,63
8638,30000,1409,1260,967,1341,42,70
8078,20000,12,16,36,0,2,2
8485,20000,165,183,318,68,0,156
9557,20000,24,22,38,2,0,6
8374,20000,0,10,22,2,0,65
134497,20000,0,0,0,0,0,0
8402,20000,0,0,16,0,0,30
135633,20000,73,114,290,46,0,99
134419,20000,26,4,12,0,0,4
8585,20000,52,42,76,2,2,0
8384,20000,2,2,18,0,0,2
8322,20000,32,10,42,2,0,5
8375,20000,4,6,20,0,0,0
8872,20000,339,318,673,114,22,71
139581,20000,6,8,18,0,6,17
134935,20000,14,33,99,0,0,17
8904,20000,30,66,48,49,2,3
7734,20000,14,12,48,0,0,4
137809,20000,23,72,32,30,0,158
8139,20000,10,27,144,4,0,14
9463,20000,202,441,690,62,6,16
139646,20000,6,28,58,14,10,26
9882,20000,6,6,146,0,0,4
8241,20000,28,31,84,12,7,5
8846,50000,314,678,375,93,0,112
8054,20000,8,14,20,10,0,20
135205,20000,0,0,0,0,0,0
8666,20000,2,4,58,0,0,742
138338,20000,105,100,615,21,0,14
137163,20000,12,21,36,0,0,4
7969,20000,231,268,224,58,12,146
8452,20000,108,64,220,4,0,6
8427,20000,24,34,228,6,0,206
7823,50000,427,354,877,127,24,114
8398,20000,12,13,58,0,0,187
137964,20000,84,127,616,45,10,33
8173,30000,32,74,166,12,0,4
8780,20000,38,92,298,6,0,12
9217,20000,8,46,34,10,0,6
8476,20000,14,16,52,6,0,22
134302,20000,2,0,2,0,0,0
139726,20000,8,2,6,0,0,0
8219,20000,8,18,32,6,0,12
137508,50000,515,1035,877,352,20,930
8876,20000,14,8,36,0,0,6
136709,20000,92,241,316,41,6,12
8640,20000,22,70,67,12,4,28
8353,50000,292,656,857,358,30,382
8936,20000,22,30,84,20,6,16
8514,20000,32,20,30,0,0,0
8111,20000,60,145,263,11,6,9
8772,20000,94,97,281,18,0,51
134766,20000,72,94,150,17,0,25
8483,20000,64,80,411,676,12,34
7401,20000,42,28,154,2,0,2
138067,30000,1277,1165,912,675,34,86
8516,20000,0,0,0,0,0,0
1576201,20000,231,268,218,64,12,169
8395,20000,54,81,290,0,0,17
139092,20000,56,93,292,2,0,17
137401,20000,16,13,236,6,0,30
8032,20000,6,15,66,0,0,8
8946,20000,22,61,183,30,18,130
9116,20000,0,4,14,0,0,0
134194,20000,2,0,2,0,0,0
8458,30000,40,39,85,31,11,31
8433,20000,42,48,207,18,6,27
7984,20000,105,73,578,17,0,14
8271,30000,1318,1184,931,700,28,64
138123,20000,1361,1230,917,658,24,40
8407,20000,16,55,88,14,0,21
134298,20000,0,0,2,0,0,8
8627,50000,497,1107,928,366,14,819
8791,20000,12,4,46,0,0,12
7215,20000,12,17,55,0,0,8
7943,20000,24,32,168,0,0,24
8552,30000,18,67,198,2,0,0
8928,20000,192,427,538,62,6,14
8599,20000,83,238,834,21,2,706
8130,20000,48,77,260,5,0,8
7776,20000,321,322,728,111,24,37
7074,50000,72,151,208,63,4,54
8668,50000,1415,1308,941,1430,52,157
134297,20000,184,221,180,46,12,107
8849,20000,1405,1255,948,488,0,24
8663,20000,18,24,64,0,0,2
8122,20000,15,33,162,4,0,10
136865,20000,6,3,30,0,0,0
134818,30000,20,48,163,8,6,6
137885,20000,22,12,52,0,0,289
137110,20000,0,0,0,0,0,4
135047,20000,20,46,127,8,6,4
8363,20000,6,16,74,0,0,20
8316,20000,0,27,48,0,0,9
138493,20000,0,0,0,0,0,0
136800,20000,2,0,0,0,0,0
137326,30000,4,16,66,0,0,4
8183,20000,8,4,68,2,0,0
8796,20000,4,4,22,2,0,0
138992,20000,0,0,0,0,0,0
8339,20000,63,148,312,72,6,20
139705,20000,8,28,376,0,0,6
8359,20000,8,7,14,4,0,190
8855,20000,30,102,369,0,0,24
8828,20000,98,123,905,59,4,120
8594,20000,102,123,910,64,4,125
136969,20000,0,0,0,0,0,0
7699,20000,6,4,12,0,0,8
8170,20000,29,12,302,2,0,45
8881,20000,18,33,57,0,0,5
