cityId,searchRadius,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex
55075,20000,14,13,71,0,0,0
147514,50000,15,33,98,0,0,0
54842,20000,0,0,0,0,0,0
55700,50000,7,9,24,0,0,102
147874,20000,0,0,6,0,0,0
57402,20000,19,66,80,20,0,0
55759,20000,4,0,2,4,0,0
54801,20000,4,0,0,0,0,0
147521,20000,4,0,0,0,0,0
55243,20000,106,123,378,37,0,49
147513,30000,2,4,4,0,0,0
55052,20000,0,0,0,0,0,0
56521,50000,288,436,984,142,72,245
147516,20000,4,0,2,4,0,0
55563,20000,0,0,0,0,0,0
147502,20000,0,0,2,0,0,0
147510,20000,0,6,7,0,0,0
147512,30000,29,123,372,8,0,3
55689,20000,0,0,0,0,0,0
55454,20000,6,0,24,1,0,0
147927,50000,0,0,2,0,0,0
147507,20000,0,3,53,6,0,0
55597,20000,6,10,26,12,0,0
147925,50000,3,12,19,18,0,7
147822,20000,16,0,169,0,0,9
54929,20000,0,0,0,0,0,0
55092,50000,67,78,347,0,0,9
55071,20000,40,27,68,19,0,3
991384,50000,1058,478,1008,312,12,26
147501,20000,1,6,33,0,0,0
147511,30000,0,0,4,0,0,0
147798,50000,0,0,1,0,0,3
55224,20000,2,0,6,0,0,0
57114,20000,84,221,306,26,0,0
55048,20000,2,32,42,0,0,0
991401,30000,216,73,300,80,0,0
147509,50000,0,0,0,0,0,3
55726,50000,7,24,121,6,0,16
54794,20000,2,6,55,15,0,9
57740,50000,286,440,984,142,72,263
148021,50000,97,31,104,4,0,11
991359,20000,6,8,14,0,0,0
147912,30000,4,1,3,0,0,0
55051,20000,12,2,112,0,0,6
147503,30000,0,0,6,0,0,3
54854,50000,1045,485,1007,311,12,26
147497,20000,0,4,31,0,0,3
55149,20000,0,4,31,0,0,0
56879,30000,995,413,1007,271,12,22
55245,50000,0,0,2,0,0,0
55044,20000,31,30,273,20,0,109
55673,20000,416,204,473,85,0,0
55289,20000,12,0,0,6,0,4
55599,20000,6,4,18,0,0,3
55280,20000,0,0,0,0,0,0
147499,20000,3,0,16,0,0,0
55307,20000,155,345,943,25,1,38
55395,20000,0,0,3,54,0,3
147879,20000,13,49,45,16,0,6
148014,20000,24,8,18,42,0,0
55223,20000,33,37,163,9,0,78
147483,20000,0,0,0,0,0,0
147797,20000,3,0,0,0,0,0
55734,20000,0,2,8,0,0,0
147486,20000,13,13,42,0,0,0
55465,20000,13,13,38,0,0,0
147487,50000,59,100,157,45,0,24
55476,20000,1,0,31,2,0,0
55082,50000,98,187,577,51,0,71
55693,20000,14,26,155,2,0,0
54776,20000,7,17,38,0,0,3
55532,20000,12,26,31,0,0,7
54803,20000,0,4,30,0,0,0
55413,20000,95,88,346,1,0,96
147473,20000,1,5,44,1,0,6
55198,50000,96,187,584,53,0,57
55762,20000,0,0,0,0,0,0
147840,20000,0,0,10,0,0,0
147480,20000,0,0,5,0,0,0
54475,20000,0,4,6,0,0,0
55725,20000,0,6,26,0,0,0
55453,20000,6,4,36,6,0,4
55099,20000,14,47,255,1,0,13
54780,20000,0,0,0,0,0,0
55025,20000,117,238,339,69,0,10
54998,20000,30,8,18,42,0,0
54846,20000,15,0,18,12,0,0
55481,20000,0,0,4,0,0,4
147488,20000,0,0,0,0,0,0
57277,20000,275,409,926,28,4,11
54469,20000,0,0,4,0,0,0
147467,20000,0,0,0,0,0,0
147474,20000,0,0,0,0,0,0
147470,50000,17,52,195,6,0,3
53978,20000,2,2,24,0,0,15
56820,20000,0,10,20,0,0,0
54423,50000,41,33,157,0,0,45
54716,20000,2,0,0,0,0,0
54093,30000,2,0,33,0,0,0
54128,20000,0,2,31,3,0,3
54014,20000,6,4,4,0,0,0
53834,20000,81,150,262,65,0,6
54404,20000,3,7,63,0,0,0
991525,30000,821,306,762,191,0,3
147461,20000,6,5,13,0,0,0
53908,20000,0,0,14,0,0,0
54671,30000,8,9,53,2,0,6
147458,30000,6,7,55,0,0,6
147479,20000,0,0,4,0,0,0
53998,20000,6,0,20,2,0,3
54403,20000,0,0,3,0,0,3
147481,20000,1,4,24,0,0,0
54454,20000,1,4,24,0,0,0
53848,20000,21,24,269,6,0,0
147464,50000,2,13,36,0,2,0
54656,20000,0,10,22,0,0,0
54039,20000,2,4,4,0,0,0
